task_name,index,test_recall,cuda_seed,running_time
adjr,10,1.0,1459433851047134,7.42
gp,1,1.0,2275785046772678,60.03
gp,2,1.0,5766168869925421,59.32
gp,3,1.0,1949192282841595,60.20
gp,4,1.0,392623617307567,61.58
gp,5,1.0,4925104969838323,61.21
gp,6,1.0,5927091065038831,61.35
gp,7,1.0,4024482167788674,61.45
gp,8,1.0,8595280088744653,60.91
gp,9,1.0,2093080201806155,62.43
gp,10,1.0,8769624247867603,62.45
length,1,1.0,2317678520975465,11.95
length,2,1.0,7760061619360771,11.96
length,3,1.0,8300765099169281,12.09
length,4,1.0,5269876315272141,12.33
length,5,1.0,4841154759894174,12.39
length,6,1.0,6856749535063604,12.97
length,7,1.0,6729831803877661,12.46
length,8,1.0,4321386972585968,12.56
length,9,1.0,1999518610036734,12.74
length,10,1.0,596942969453940,12.92
uncle,1,0.3333333333333333,7910042773532128,1850.72
fizz,1,0.3333333333333333,8109577246670222,1956.86
fizz,2,0.3333333333333333,8356263351880014,2065.50
fizz,3,0.3333333333333333,2054688240453316,2165.49
fizz,4,0.3333333333333333,6308474455590506,2250.39
fizz,5,0.3333333333333333,6724057959464206,2541.39
fizz,6,0.3333333333333333,5756274080204327,2742.88
fizz,7,0.3333333333333333,8484621021673763,2812.88
fizz,8,0.3333333333333333,172247577902801,2972.89
fizz,9,0.3333333333333333,6602239551031676,3134.27
buzz,1,0.5,8469711242723468,8429.33
buzz,2,,3657031309422625,
cons,avg,,,5.8240
father,avg,,,5.4580
lessthan,avg,,,12.0880
member,avg,,,5.5000
related,avg,,,46.9350
ue,avg,,,8.4810
pre,avg,,,6.5670
son,avg,,,7.7740
even,avg,,,6.4670
gcor,avg,,,17.3450
iscycle,avg,,,20.6550
odd,avg,,,6.9840
tc,avg,,,5.8170
adjr,avg,,,7.3890
gp,avg,,,61.0930
length,avg,,,12.4370
uncle,avg,,,1850.7200
fizz,avg,,,2515.8389
buzz,avg,,,4214.6650
