task_name,index,test_recall,cuda_seed
father,2,1.0,1376095576062371
father,3,1.0,5413827914310743
father,4,1.0,6990478640780324
father,5,1.0,1890464388124350
father,6,1.0,2625622853720459
father,7,1.0,2651038233077386
father,8,1.0,6822502426089823
father,9,1.0,3945914241650992
father,10,1.0,8759607748248972
lessthan,10,1.0,4963543864007059
lessthan,11,1.0,8223672708932339
lessthan,12,1.0,2303748066474024
lessthan,13,1.0,1651948542721776
lessthan,14,1.0,8609636179100408
lessthan,15,1.0,8020600413828860
lessthan,16,1.0,5058363293466407
lessthan,17,1.0,2139312933246481
lessthan,18,1.0,5938100800362892
lessthan,19,1.0,7031546147870907
husband,1,0.9591078066914498,459509126282704
husband,2,0.9591078066914498,8862053903505388
husband,3,0.9591078066914498,6224134016872535
husband,4,0.9591078066914498,2252541742381013
husband,5,0.9591078066914498,3839972835290020
husband,6,0.9591078066914498,5327641016333650
husband,7,0.9591078066914498,2286339200081961
husband,8,0.9591078066914498,6042104914874393
husband,9,0.9591078066914498,5029152762024866
husband,10,0.9591078066914498,943092228210265
